epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4458,1.50451,5.65527,1.46296,0.57505,0.23713,0.24138,0.14853,1.15701,16.1259,1.23399,0.00012,0.00012,0.00012
2,118.528,1.22596,2.71,1.25902,0.66152,0.36054,0.3759,0.25431,1.10375,4.00089,1.18999,0.00024175,0.00024175,0.00024175
3,206.928,1.25397,2.26486,1.25727,0.6167,0.27116,0.2935,0.20179,1.09295,2.72461,1.19386,0.00035492,0.00035492,0.00035492
4,285.908,1.24428,1.81131,1.24744,0.59872,0.28253,0.26335,0.17647,1.21714,2.44574,1.33019,0.00045951,0.00045951,0.00045951
5,371.064,1.20807,1.55556,1.21848,0.53866,0.25998,0.21667,0.14737,1.17315,2.2375,1.27393,0.00055552,0.00055552,0.00055552
6,449.021,1.18281,1.44378,1.2387,0.6754,0.27197,0.26597,0.18528,1.17978,1.80556,1.35698,0.00064295,0.00064295,0.00064295
7,535.677,1.28329,1.50588,1.3262,0.68116,0.25678,0.2754,0.17291,1.22969,1.76636,1.40674,0.0007218,0.0007218,0.0007218
8,621.638,1.23636,1.40144,1.29348,0.64899,0.26764,0.26614,0.17306,1.20051,1.60566,1.38923,0.000769,0.000769,0.000769
9,714.069,1.20373,1.30919,1.25408,0.77004,0.26139,0.28215,0.18926,1.15844,1.39749,1.34575,0.000736,0.000736,0.000736
10,811.741,1.17491,1.24302,1.24005,0.83188,0.28056,0.28842,0.19588,1.17826,1.33961,1.34917,0.000703,0.000703,0.000703
11,922.686,1.20629,1.29367,1.29059,0.82507,0.21781,0.23153,0.16546,1.05953,1.25788,1.22987,0.00067,0.00067,0.00067
12,1019.38,1.17435,1.17644,1.24697,0.68808,0.26626,0.25272,0.17856,1.10807,1.36406,1.27985,0.000637,0.000637,0.000637
13,1119.73,1.13839,1.171,1.25892,0.79855,0.29989,0.30732,0.22863,1.01412,1.14111,1.19416,0.000604,0.000604,0.000604
14,1230.52,1.11694,1.10601,1.18245,0.72751,0.34995,0.35091,0.25661,1.00165,1.07857,1.1894,0.000571,0.000571,0.000571
15,1335.91,1.09064,1.02653,1.18533,0.76524,0.37096,0.39115,0.2914,0.99593,0.99793,1.17002,0.000538,0.000538,0.000538
16,1433.18,1.10068,1.07866,1.21397,0.83606,0.50807,0.51324,0.38093,0.9497,1.01592,1.16274,0.000505,0.000505,0.000505
17,1533.44,1.07208,0.96637,1.17365,0.85474,0.51968,0.5247,0.38849,0.95383,0.86274,1.15721,0.000472,0.000472,0.000472
18,1627.55,1.01126,0.91341,1.1534,0.87802,0.62776,0.64543,0.4891,0.93594,0.80657,1.13974,0.000439,0.000439,0.000439
19,1729.57,1.05605,0.91478,1.17911,0.85597,0.58561,0.60176,0.45182,0.95218,0.81408,1.1508,0.000406,0.000406,0.000406
20,1825.41,1.03088,0.90788,1.16638,0.89299,0.64607,0.67747,0.51815,0.91166,0.76014,1.13118,0.000373,0.000373,0.000373
21,1933.69,0.94954,0.9142,1.12914,0.88056,0.70189,0.73996,0.58184,0.86514,0.73202,1.09947,0.00034,0.00034,0.00034
22,2027.58,0.9863,0.90579,1.14858,0.87047,0.73099,0.73825,0.57837,0.86316,0.70659,1.08726,0.000307,0.000307,0.000307
23,2117.33,0.91639,0.81824,1.12146,0.88792,0.75185,0.8506,0.6748,0.81344,0.68331,1.07036,0.000274,0.000274,0.000274
24,2201.25,0.91944,0.75688,1.12179,0.90348,0.75698,0.82225,0.65573,0.81512,0.66196,1.07167,0.000241,0.000241,0.000241
25,2279.22,0.88802,0.71273,1.10895,0.88889,0.77203,0.86726,0.68699,0.80057,0.62713,1.0578,0.000208,0.000208,0.000208
26,2375.23,0.88101,0.72341,1.10222,0.89768,0.77863,0.95581,0.77291,0.76029,0.59851,1.03821,0.000175,0.000175,0.000175
27,2458.9,0.85355,0.67144,1.08387,0.88593,0.79687,0.95865,0.77863,0.76029,0.59036,1.03543,0.000142,0.000142,0.000142
28,2542.3,0.82748,0.66742,1.07672,0.92179,0.7683,0.96306,0.78299,0.7529,0.57145,1.03221,0.000109,0.000109,0.000109
29,2617.78,0.81076,0.63299,1.07384,0.91741,0.76966,0.95836,0.78129,0.7333,0.55931,1.02792,7.6e-05,7.6e-05,7.6e-05
30,2694.45,0.81082,0.63816,1.05957,0.93059,0.7724,0.96567,0.78956,0.72619,0.55425,1.02717,4.3e-05,4.3e-05,4.3e-05
