epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.5498,1.67256,4.1535,1.47194,0.00594,0.65154,0.03002,0.01636,1.23784,4.12239,1.27025,5e-05,5e-05,5e-05
2,94.9559,1.34336,3.97544,1.35847,0.01099,0.77579,0.09885,0.06702,1.07354,3.95501,1.14081,0.000107822,0.000107822,0.000107822
3,144.479,1.42156,3.72989,1.3969,0.01383,0.84913,0.15523,0.10222,1.07357,3.87355,1.10996,0.000163268,0.000163268,0.000163268
4,187.78,1.26226,3.15613,1.2591,0.01498,0.85442,0.22403,0.15179,1.09183,3.77451,1.10668,0.000216338,0.000216338,0.000216338
5,231.466,1.3756,2.98783,1.31196,0.01532,0.82971,0.21077,0.13458,1.08316,3.65037,1.10778,0.000267032,0.000267032,0.000267032
6,276.517,1.36928,2.95353,1.31959,0.01655,0.81556,0.24919,0.16858,1.06866,3.57602,1.1153,0.00031535,0.00031535,0.00031535
7,318.377,1.24971,2.88111,1.25688,0.01834,0.83566,0.24428,0.15966,1.03722,3.56791,1.098,0.000361292,0.000361292,0.000361292
8,360.052,1.31621,2.42964,1.24761,0.96388,0.07853,0.31023,0.20554,1.04399,3.36279,1.11462,0.000404858,0.000404858,0.000404858
9,400.817,1.30095,2.16612,1.2637,0.93773,0.2414,0.44824,0.30218,1.04174,2.99096,1.1061,0.000446048,0.000446048,0.000446048
10,442.56,1.20486,2.07482,1.14252,0.92486,0.2433,0.42885,0.29169,1.10877,3.04248,1.13409,0.000484862,0.000484862,0.000484862
11,484.044,1.26578,2.27042,1.29924,0.92248,0.24075,0.46591,0.29913,1.15436,2.97985,1.17554,0.0005213,0.0005213,0.0005213
12,523.997,1.24367,1.98826,1.20256,0.93054,0.21774,0.55965,0.3829,1.09503,2.88245,1.16681,0.000555362,0.000555362,0.000555362
13,565.009,1.15588,1.95165,1.18116,0.93402,0.3061,0.57747,0.38994,1.09267,2.94312,1.16959,0.000587048,0.000587048,0.000587048
14,606.141,1.25906,1.89982,1.2699,0.92042,0.24864,0.55531,0.38163,1.08217,3.00102,1.19887,0.000616358,0.000616358,0.000616358
15,646.88,1.08941,1.90438,1.2031,0.92211,0.23979,0.54818,0.37342,1.06533,2.87854,1.18179,0.000643292,0.000643292,0.000643292
16,688.096,1.30633,1.93235,1.28057,0.89243,0.21138,0.55852,0.38218,1.09051,2.87625,1.20968,0.00066785,0.00066785,0.00066785
17,728.601,1.51331,2.16201,1.45474,0.71093,0.29165,0.6379,0.42638,1.10151,2.90919,1.22819,0.0006832,0.0006832,0.0006832
18,768.834,1.16611,1.88753,1.23238,0.78976,0.40043,0.58828,0.37862,1.21894,2.8863,1.34868,0.0006634,0.0006634,0.0006634
19,809.638,1.05257,1.86371,1.20016,0.75442,0.46082,0.59125,0.37936,1.19746,2.73237,1.32347,0.0006436,0.0006436,0.0006436
20,850.263,1.07568,1.82361,1.16599,0.75476,0.49837,0.60198,0.40004,1.11354,2.41336,1.23773,0.0006238,0.0006238,0.0006238
21,891.628,1.26353,1.8559,1.27648,0.7215,0.52946,0.62291,0.42987,1.09934,2.24599,1.22101,0.000604,0.000604,0.000604
22,933.57,1.2086,1.75348,1.19921,0.75342,0.62466,0.66855,0.45763,1.12457,2.09818,1.18199,0.0005842,0.0005842,0.0005842
23,974.427,1.1187,1.70769,1.18568,0.83095,0.61748,0.68562,0.49765,1.03378,1.94896,1.10785,0.0005644,0.0005644,0.0005644
24,1015.92,1.08531,1.55398,1.17548,0.86447,0.68099,0.734,0.53447,1.0028,1.78912,1.08615,0.0005446,0.0005446,0.0005446
25,1059.08,1.04685,1.61388,1.19846,0.8599,0.6449,0.72916,0.53372,1.00659,1.7713,1.09659,0.0005248,0.0005248,0.0005248
26,1100.47,1.22449,1.54253,1.35684,0.82964,0.68139,0.7371,0.54469,0.95413,1.67989,1.07337,0.000505,0.000505,0.000505
27,1142.05,1.07263,1.57608,1.15664,0.85182,0.67799,0.76555,0.57569,0.92729,1.64205,1.05135,0.0004852,0.0004852,0.0004852
28,1182.38,0.96648,1.464,1.06949,0.85846,0.68821,0.80465,0.61317,0.93021,1.6445,1.04993,0.0004654,0.0004654,0.0004654
29,1222.89,1.06188,1.61217,1.1052,0.86357,0.69945,0.82107,0.62866,0.92742,1.59008,1.05443,0.0004456,0.0004456,0.0004456
30,1262.88,1.02141,1.41955,1.1202,0.87752,0.66977,0.80324,0.61557,0.91564,1.51853,1.04826,0.0004258,0.0004258,0.0004258
31,1302.87,0.95397,1.56163,1.12637,0.83774,0.69135,0.81434,0.62953,0.88619,1.45955,1.03128,0.000406,0.000406,0.000406
32,1343.67,1.13937,1.50451,1.21282,0.86854,0.75258,0.94103,0.74549,0.82618,1.41109,1.00956,0.0003862,0.0003862,0.0003862
33,1385.23,0.96964,1.34529,1.11342,0.8962,0.73417,0.93803,0.74213,0.81354,1.38883,1.00317,0.0003664,0.0003664,0.0003664
34,1424.53,0.97821,1.39452,1.09778,0.93831,0.71742,0.94444,0.73806,0.84202,1.34986,1.00817,0.0003466,0.0003466,0.0003466
35,1465.26,1.17004,1.53071,1.26443,0.96099,0.71233,0.94821,0.73597,0.8551,1.34089,1.01431,0.0003268,0.0003268,0.0003268
36,1504.55,0.96241,1.29979,1.07064,0.92255,0.72983,0.95604,0.75871,0.8391,1.30128,1.00824,0.000307,0.000307,0.000307
37,1542.51,1.00881,1.33692,1.13278,0.65593,0.95873,0.95921,0.76349,0.82789,1.27994,1.00006,0.0002872,0.0002872,0.0002872
38,1580.86,1.15715,1.54005,1.27178,0.72642,0.94815,0.96848,0.79467,0.75565,1.27335,0.97084,0.0002674,0.0002674,0.0002674
39,1619.07,0.95103,1.20133,1.08721,0.75573,0.93757,0.97038,0.79984,0.70947,1.28195,0.95588,0.0002476,0.0002476,0.0002476
40,1656.99,0.96389,1.31088,1.11769,0.78498,0.97112,0.97658,0.80187,0.71612,1.27298,0.95568,0.0002278,0.0002278,0.0002278
41,1695.76,0.94359,1.43305,1.09109,0.73175,0.95079,0.96625,0.79514,0.71411,1.25152,0.95674,0.000208,0.000208,0.000208
42,1733.89,0.91133,1.70925,1.02698,0.68351,0.96402,0.96016,0.79743,0.717,1.24429,0.9624,0.0001882,0.0001882,0.0001882
43,1771.78,0.7785,1.43041,1.03766,0.70028,0.96402,0.96143,0.79704,0.70766,1.24054,0.95905,0.0001684,0.0001684,0.0001684
44,1810.93,0.88109,1.30574,1.01928,0.96087,0.74465,0.96603,0.81543,0.68982,1.22778,0.95198,0.0001486,0.0001486,0.0001486
45,1853.88,0.76602,1.36571,0.99756,0.9514,0.75636,0.9671,0.82109,0.67588,1.21428,0.94577,0.0001288,0.0001288,0.0001288
